date,Unnamed: 0,zid,x,y,population,sick,sick_1,sick_2,sick_3,sick_4
1,9572500,416728948,164485.31273252232,243845.856197469,8054119,8,8,8,8,8
2,28721876,416728948,164485.31273252232,243845.856197469,8054119,526,526,526,520,515
3,47871252,416728948,164485.31273252232,243845.856197469,8054119,1037,1037,1032,981,961
4,67020628,416728948,164485.31273252232,243845.856197469,8054119,1527,1527,1512,1399,1342
5,86170004,416728948,164485.31273252232,243845.856197469,8054119,2085,2081,2049,1786,1683
6,105319380,416728948,164485.31273252232,243845.856197469,8054119,2710,2695,2608,2245,2070
7,124468756,416728948,164485.31273252232,243845.856197469,8054119,3414,3390,3227,2714,2497
8,143618132,416728948,164485.31273252232,243845.856197469,8054119,4103,4041,3846,3190,2906
9,162767508,416728948,164485.31273252232,243845.856197469,8054119,5023,4916,4630,3835,3437
10,181916884,416728948,164485.31273252232,243845.856197469,8054119,6120,5946,5549,4595,4088
11,201066260,416728948,164485.31273252232,243845.856197469,8054119,7263,7046,6489,5440,4844
12,220215636,416728948,164485.31273252232,243845.856197469,8054119,8663,8388,7721,6455,5728
13,239365012,416728948,164485.31273252232,243845.856197469,8054119,10094,9717,8934,7489,6633
14,258514388,416728948,164485.31273252232,243845.856197469,8054119,11653,11120,10269,8594,7619
15,277663764,416728948,164485.31273252232,243845.856197469,8054119,13301,12675,11633,9749,8609
16,296813140,416728948,164485.31273252232,243845.856197469,8054119,15081,14358,13214,11100,9794
17,315962516,416728948,164485.31273252232,243845.856197469,8054119,17413,16586,15254,12839,11404
18,335111892,416728948,164485.31273252232,243845.856197469,8054119,20370,19386,17796,15109,13345
19,354261268,416728948,164485.31273252232,243845.856197469,8054119,24241,22998,21167,17890,15780
20,373410644,416728948,164485.31273252232,243845.856197469,8054119,26359,24989,22913,19416,17081
21,392560020,416728948,164485.31273252232,243845.856197469,8054119,29447,27940,25578,21654,18981
22,411709396,416728948,164485.31273252232,243845.856197469,8054119,32024,30402,27751,23477,20560
23,430858772,416728948,164485.31273252232,243845.856197469,8054119,34006,32273,29416,24857,21802
24,450008148,416728948,164485.31273252232,243845.856197469,8054119,36793,34770,31908,26821,23546
25,469157524,416728948,164485.31273252232,243845.856197469,8054119,39503,37396,34142,28814,25463
26,488306900,416728948,164485.31273252232,243845.856197469,8054119,42550,40328,36657,30977,27281
27,507456276,416728948,164485.31273252232,243845.856197469,8054119,45497,43120,39201,33116,28887
28,526605652,416728948,164485.31273252232,243845.856197469,8054119,48956,46233,42267,35496,31115
29,545755028,416728948,164485.31273252232,243845.856197469,8054119,51334,48530,44253,37025,32560
30,564904404,416728948,164485.31273252232,243845.856197469,8054119,54601,51692,47072,39474,34441
