date,population,sick,sick_1,sick_2,sick_3,sick_4
1,6867490,8,8,8,8,8
2,6867490,524,524,524,518,513
3,6867490,1032,1032,1027,976,956
4,6867490,1518,1518,1503,1390,1333
5,6867490,2064,2060,2028,1767,1664
6,6867490,2679,2664,2578,2215,2041
7,6867490,3360,3336,3173,2664,2447
8,6867490,4026,3964,3772,3120,2838
9,6867490,4895,4788,4504,3713,3318
10,6867490,5952,5778,5386,4434,3934
11,6867490,7003,6788,6233,5198,4609
12,6867490,8326,8052,7391,6141,5423
13,6867490,9671,9296,8520,7102,6259
14,6867490,11187,10657,9809,8172,7216
15,6867490,12791,12170,11135,9305,8184
16,6867490,14332,13614,12483,10443,9170
17,6867490,16412,15591,14287,11961,10558
18,6867490,19044,18069,16509,13924,12201
19,6867490,22632,21403,19611,16505,14461
20,6867490,24661,23314,21288,17965,15713
21,6867490,27645,26161,23863,20139,17571
22,6867490,30098,28506,25932,21889,19102
23,6867490,32028,30339,27550,23250,20328
24,6867490,34740,32762,29987,25141,22003
25,6867490,37337,35263,32135,27048,23825
26,6867490,40160,37976,34449,29098,25554
27,6867490,42907,40587,36803,31132,27104
28,6867490,46113,43446,39641,33389,29229
29,6867490,48344,45615,41516,34842,30635
30,6867490,51384,48547,44126,37140,32444
